Zip Code,City,State,Medicare Total Charges,Medicare Avg Charge/Case,Medicare % of Charges Within Search,Medicare Total # of Cases,Medicare Total Days of Care
60531,Leland,IL,,,,,
36732,Demopolis,AL,,,,,
61773,Sibley,IL,,,,,
46614,South Bend,IN,,,,,
98236,Clinton,WA,,,,,
45208,Cincinnati,OH,,,,,
60087,Waukegan,IL,,,,,
60131,Franklin Park,IL,,,,,
53215,Milwaukee,WI,,,,,
62521,Decatur,IL,,,,,
11236,Brooklyn,NY,,,,,
60177,South Elgin,IL,,,,,
75181,Mesquite,TX,,,,,
45661,Piketon,OH,,,,,
07746,Marlboro,NJ,,,,,
61301,La Salle,IL,,,,,
60056,Mount Prospect,IL,,,,,
84108,Salt Lake City,UT,,,,,
62656,Lincoln,IL,,,,,
60699,Chicago,IL,,,,,
85268,Fountain Hills,AZ,,,,,
76210,Denton,TX,,,,,
61443,Kewanee,IL,,,,,
53012,Cedarburg,WI,,,,,
02136,Hyde Park,MA,,,,,
49129,Union Pier,MI,,,,,
33914,Cape Coral,FL,,,,,
75424,Blue Ridge,TX,,,,,
49701,Mackinaw City,MI,,,,,
30530,Commerce,GA,,,,,
53168,Salem,WI,,,,,
57201,Watertown,SD,,,,,
60061,Vernon Hills,IL,,,,,
38002,Arlington,TN,,,,,
85254,Scottsdale,AZ,,,,,
84115,Salt Lake City,UT,,,,,
14020,Batavia,NY,,,,,
27103,Winston Salem,NC,,,,,
44109,Cleveland,OH,,,,,
33782,Pinellas Park,FL,,,,,
36116,Montgomery,AL,,,,,
78249,San Antonio,TX,,,,,
61802,Urbana,IL,,,,,
61764,Pontiac,IL,,,,,
46601,South Bend,IN,,,,,
88220,Carlsbad,NM,,,,,
60026,Glenview,IL,,,,,
39701,Columbus,MS,,,,,
61276,Preemption,IL,,,,,
27501,Angier,NC,,,,,
98327,Dupont,WA,,,,,
60917,Buckingham,IL,,,,,
62563,Rochester,IL,,,,,
34113,Naples,FL,,,,,
61462,Monmouth,IL,,,,,
60484,University Park,IL,,,,,
35216,Birmingham,AL,,,,,
32246,Jacksonville,FL,,,,,
79904,El Paso,TX,,,,,
49038,Coloma,MI,,,,,
70005,Metairie,LA,,,,,
62226,Belleville,IL,,,,,
96761,Lahaina,HI,,,,,
60007,Elk Grove Village,IL,,,,,
46406,Gary,IN,,,,,
60041,Ingleside,IL,,,,,
53188,Waukesha,WI,,,,,
11221,Brooklyn,NY,,,,,
61001,Apple River,IL,,,,,
53121,Elkhorn,WI,,,,,
61329,Ladd,IL,,,,,
00956,Bayamon,PR,,,,,
46229,Indianapolis,IN,,,,,
46327,Hammond,IN,,,,,
33040,Key West,FL,,,,,
61231,Aledo,IL,,,,,
49506,Grand Rapids,MI,,,,,
92673,San Clemente,CA,,,,,
34145,Marco Island,FL,,,,,
85118,Gold Canyon,AZ,,,,,
77441,Fulshear,TX,,,,,
46382,Union Mills,IN,,,,,
28451,Leland,NC,,,,,
50014,Ames,IA,,,,,
75022,Flower Mound,TX,,,,,
33647,Tampa,FL,,,,,
61068,Rochelle,IL,,,,,
49420,Hart,MI,,,,,
77459,Missouri City,TX,,,,,
37228,Nashville,TN,,,,,
00820,Christiansted,VI,,,,,
46254,Indianapolis,IN,,,,,
62220,Belleville,IL,,,,,
62305,Quincy,IL,,,,,
48357,Highland,MI,,,,,
70087,Saint Rose,LA,,,,,
61734,Delavan,IL,,,,,
60447,Minooka,IL,,,,,
60604,Chicago,IL,,,,,
46341,Hebron,IN,,,,,
72205,Little Rock,AR,,,,,
17044,Lewistown,PA,,,,,
61322,Depue,IL,,,,,
49031,Cassopolis,MI,,,,,
54558,Saint Germain,WI,,,,,
55113,Saint Paul,MN,,,,,
60556,Waterman,IL,,,,,
61920,Charleston,IL,,,,,
61364,Streator,IL,,,,,
46365,Mill Creek,IN,,,,,
34235,Sarasota,FL,,,,,
33928,Estero,FL,,,,,
61614,Peoria,IL,,,,,
49696,Traverse City,MI,,,,,
60931,Donovan,IL,,,,,
53211,Milwaukee,WI,,,,,
60152,Marengo,IL,,,,,
46320,Hammond,IN,,,,,
94402,San Mateo,CA,,,,,
31324,Richmond Hill,GA,,,,,
34292,Venice,FL,,,,,
33444,Delray Beach,FL,,,,,
62701,Springfield,IL,,,,,
60944,Hopkins Park,IL,,,,,
33322,Fort Lauderdale,FL,,,,,
46539,Mentone,IN,,,,,
61546,Manito,IL,,,,,
61605,Peoria,IL,,,,,
48505,Flint,MI,,,,,
46543,Millersburg,IN,,,,,
19041,Haverford,PA,,,,,
62561,Riverton,IL,,,,,
61341,Marseilles,IL,,,,,
70122,New Orleans,LA,,,,,
53024,Grafton,WI,,,,,
53216,Milwaukee,WI,,,,,
61261,Lyndon,IL,,,,,
59730,Gallatin Gateway,MT,,,,,
28304,Fayetteville,NC,,,,,
33426,Boynton Beach,FL,,,,,
61615,Peoria,IL,,,,,
60567,Naperville,IL,,,,,
62208,Fairview Heights,IL,,,,,
46613,South Bend,IN,,,,,
61555,Pekin,IL,,,,,
53130,Hales Corners,WI,,,,,
60187,Wheaton,IL,,,,,
46554,North Liberty,IN,,,,,
50273,Winterset,IA,,,,,
34275,Nokomis,FL,,,,,
60110,Carpentersville,IL,,,,,
31411,Savannah,GA,,,,,
60064,North Chicago,IL,,,,,
62522,Decatur,IL,,,,,
33487,Boca Raton,FL,,,,,
53039,Juneau,WI,,,,,
60598,Aurora,IL,,,,,
46392,Wheatfield,IN,,,,,
61832,Danville,IL,,,,,
60021,Fox River Grove,IL,,,,,
60927,Clifton,IL,,,,,
28054,Gastonia,NC,,,,,
08873,Somerset,NJ,,,,,
59252,Outlook,MT,,,,,
61820,Champaign,IL,,,,,
46534,Knox,IN,,,,,
60097,Wonder Lake,IL,,,,,
60140,Hampshire,IL,,,,,
33950,Punta Gorda,FL,,,,,
28117,Mooresville,NC,,,,,
37334,Fayetteville,TN,,,,,
65810,Springfield,MO,,,,,
60106,Bensenville,IL,,,,,
60083,Wadsworth,IL,,,,,
60550,Shabbona,IL,,,,,
61528,Edwards,IL,,,,,
60081,Spring Grove,IL,,,,,
60050,McHenry,IL,,,,,
60045,Lake Forest,IL,,,,,
46407,Gary,IN,,,,,
53125,Fontana,WI,,,,,
87124,Rio Rancho,NM,,,,,
48235,Detroit,MI,,,,,
47960,Monticello,IN,,,,,
14214,Buffalo,NY,,,,,
21043,Ellicott City,MD,,,,,
61822,Champaign,IL,,,,,
46394,Whiting,IN,,,,,
98102,Seattle,WA,,,,,
61525,Dunlap,IL,,,,,
59716,Big Sky,MT,,,,,
85249,Chandler,AZ,,,,,
61030,Forreston,IL,,,,,
33909,Cape Coral,FL,,,,,
49128,Three Oaks,MI,,,,,
55792,Virginia,MN,,,,,
54241,Two Rivers,WI,,,,,
60042,Island Lake,IL,,,,,
62801,Centralia,IL,,,,,
61611,East Peoria,IL,,,,,
60115,Dekalb,IL,,,,,
89117,Las Vegas,NV,,,,,
60428,Markham,IL,,,,,
30022,Alpharetta,GA,,,,,
46391,Westville,IN,,,,,
89084,North Las Vegas,NV,,,,,
96734,Kailua,HI,,,,,
78617,Del Valle,TX,,,,,
61067,Ridott,IL,,,,,
61530,Eureka,IL,,,,,
53549,Jefferson,WI,,,,,
61571,Washington,IL,,,,,
46574,Walkerton,IN,,,,,
32935,Melbourne,FL,,,,,
55439,Minneapolis,MN,,,,,
62205,East Saint Louis,IL,,,,,
85013,Phoenix,AZ,,,,,
60690,Chicago,IL,,,,,
44138,Olmsted Falls,OH,,,,,
53142,Kenosha,WI,,,,,
47951,Kentland,IN,,,,,
33431,Boca Raton,FL,,,,,
54901,Oshkosh,WI,,,,,
46952,Marion,IN,,,,,
92555,Moreno Valley,CA,,,,,
60946,Kempton,IL,,,,,
63103,Saint Louis,MO,,,,,
49683,Thompsonville,MI,,,,,
60924,Cissna Park,IL,,,,,
60190,Winfield,IL,,,,,
61523,Chillicothe,IL,,,,,
61373,Utica,IL,,,,,
30092,Peachtree Corners,GA,,,,,
30071,Norcross,GA,,,,,
90620,Buena Park,CA,,,,,
53128,Genoa City,WI,,,,,
61037,Galt,IL,,,,,
60008,Rolling Meadows,IL,,,,,
94949,Novato,CA,,,,,
33418,Palm Beach Gardens,FL,,,,,
53105,Burlington,WI,,,,,
61081,Sterling,IL,,,,,
55446,Minneapolis,MN,,,,,
61115,Machesney Park,IL,,,,,
63034,Florissant,MO,,,,,
78676,Wimberley,TX,,,,,
61859,Ogden,IL,,,,,
75032,Rockwall,TX,,,,,
60407,Braceville,IL,,,,,
61201,Rock Island,IL,,,,,
33952,Port Charlotte,FL,,,,,
47630,Newburgh,IN,,,,,
11598,Woodmere,NY,,,,,
62919,Cave In Rock,IL,,,,,
30179,Temple,GA,,,,,
46528,Goshen,IN,,,,,
60416,Coal City,IL,,,,,
89014,Henderson,NV,,,,,
94087,Sunnyvale,CA,,,,,
30294,Ellenwood,GA,,,,,
54499,Wittenberg,WI,,,,,
53029,Hartland,WI,,,,,
61550,Morton,IL,,,,,
89121,Las Vegas,NV,,,,,
33898,Lake Wales,FL,,,,,
60139,Glendale Heights,IL,,,,,
08830,Iselin,NJ,,,,,
34103,Naples,FL,,,,,
61428,Dahinda,IL,,,,,
06830,Greenwich,CT,,,,,
61107,Rockford,IL,,,,,
55104,Saint Paul,MN,,,,,
89109,Las Vegas,NV,,,,,
30518,Buford,GA,,,,,
60714,Niles,IL,,,,,
60074,Palatine,IL,,,,,
46804,Fort Wayne,IN,,,,,
61866,Rantoul,IL,,,,,
21210,Baltimore,MD,,,,,
48089,Warren,MI,,,,,
33904,Cape Coral,FL,,,,,
32162,The Villages,FL,,,,,
61448,Knoxville,IL,,,,,
60022,Glencoe,IL,,,,,
83703,Boise,ID,,,,,
61330,La Moille,IL,,,,,
33484,Delray Beach,FL,,,,,
92234,Cathedral City,CA,,,,,
53527,Cottage Grove,WI,,,,,
47909,Lafayette,IN,,,,,
62420,Casey,IL,,,,,
49417,Grand Haven,MI,,,,,
11720,Centereach,NY,,,,,
55121,Saint Paul,MN,,,,,
60195,Schaumburg,IL,,,,,
61356,Princeton,IL,,,,,
33912,Fort Myers,FL,,,,,
54960,Neshkoro,WI,,,,,
60968,Thawville,IL,,,,,
60018,Des Plaines,IL,,,,,
49415,Fruitport,MI,,,,,
34231,Sarasota,FL,,,,,
60421,Elwood,IL,,,,,
61102,Rockford,IL,,,,,
85209,Mesa,AZ,,,,,
49047,Dowagiac,MI,,,,,
60124,Elgin,IL,,,,,
02482,Wellesley,MA,,,,,
77642,Port Arthur,TX,,,,,
60966,Sheldon,IL,,,,,
60175,Saint Charles,IL,,,,,
67214,Wichita,KS,,,,,
60030,Grayslake,IL,,,,,
60935,Essex,IL,,,,,
32712,Apopka,FL,,,,,
60178,Sycamore,IL,,,,,
36107,Montgomery,AL,,,,,
49117,New Buffalo,MI,,,,,
77845,College Station,TX,,,,,
38935,Greenwood,MS,,,,,
49405,Custer,MI,,,,,
20685,Saint Leonard,MD,,,,,
45840,Findlay,OH,,,,,
32789,Winter Park,FL,,,,,
62568,Taylorville,IL,,,,,
61607,Peoria,IL,,,,,
30012,Conyers,GA,,,,,
32963,Vero Beach,FL,,,,,
60090,Wheeling,IL,,,,,
48740,Harrisville,MI,,,,,
61084,Stillman Valley,IL,,,,,
62702,Springfield,IL,,,,,
60603,Chicago,IL,,,,,
49024,Portage,MI,,,,,
85345,Peoria,AZ,,,,,
47906,West Lafayette,IN,,,,,
52001,Dubuque,IA,,,,,
60156,Lake In The Hills,IL,,,,,
46805,Fort Wayne,IN,,,,,
60606,Chicago,IL,,,,,
89081,North Las Vegas,NV,,,,,
60173,Schaumburg,IL,,,,,
61342,Mendota,IL,,,,,
34102,Naples,FL,,,,,
49424,Holland,MI,,,,,
60033,Harvard,IL,,,,,
07042,Montclair,NJ,,,,,
54956,Neenah,WI,,,,,
60180,Union,IL,,,,,
72401,Jonesboro,AR,,,,,
61616,Peoria Heights,IL,,,,,
75201,Dallas,TX,,,,,
60070,Prospect Heights,IL,,,,,
97215,Portland,OR,,,,,
61531,Farmington,IL,,,,,
49064,Lawrence,MI,,,,,
46347,Kouts,IN,,,,,
10475,Bronx,NY,,,,,
60514,Clarendon Hills,IL,,,,,
77382,Spring,TX,,,,,
49106,Bridgman,MI,,,,,
46582,Warsaw,IN,,,,,
61604,Peoria,IL,,,,,
16121,Farrell,PA,,,,,
60194,Schaumburg,IL,,,,,
60424,Gardner,IL,,,,,
77584,Pearland,TX,,,,,
46996,Winamac,IN,,,,,
77056,Houston,TX,,,,,
33470,Loxahatchee,FL,,,,,
30043,Lawrenceville,GA,,,,,
46544,Mishawaka,IN,,,,,
62896,West Frankfort,IL,,,,,
35806,Huntsville,AL,,,,,
53402,Racine,WI,,,,,
78254,San Antonio,TX,,,,,
60480,Willow Springs,IL,,,,,
53963,Waupun,WI,,,,,
34652,New Port Richey,FL,,,,,
70471,Mandeville,LA,,,,,
98445,Tacoma,WA,,,,,
25320,Charleston,WV,,,,,
54494,Wisconsin Rapids,WI,,,,,
60142,Huntley,IL,,,,,
63701,Cape Girardeau,MO,,,,,
74137,Tulsa,OK,,,,,
32141,Edgewater,FL,,,,,
37748,Harriman,TN,,,,,
46405,Lake Station,IN,,,,,
94574,Saint Helena,CA,,,,,
32038,Fort White,FL,,,,,
46619,South Bend,IN,,,,,
61257,Hillsdale,IL,,,,,
95354,Modesto,CA,,,,,
48204,Detroit,MI,,,,,
60048,Libertyville,IL,,,,,
45044,Middletown,OH,,,,,
42728,Columbia,KY,,,,,
